Sept. 14, 2020   13:07:46
Linear Sweep Voltammetry,
File: c:\users\zhanglei\desktop\zzy\ivData Source:  Experiment,
Instrument Model:  CHI660E,
Header: ,
Note: ,
,
Init E (V) = 0,
Final E (V) = 1.2,
Scan Rate (V/s) = 0.1,
Sample Interval (V) = 0.001,
Quiet Time (sec) = 2,
Sensitivity (A/V) = 0.01,
,
,
Potential/V, Current/A
,
0.545,8.72E-03
0.546,8.74E-03
0.547,8.76E-03
0.548,8.78E-03
0.549,8.80E-03
0.55,8.83E-03
0.551,8.85E-03
0.552,8.87E-03
0.553,8.89E-03
0.554,8.91E-03
0.555,8.93E-03
0.556,8.95E-03
0.557,8.97E-03
0.558,8.99E-03
0.559,9.02E-03
0.56,9.04E-03
0.561,9.06E-03
0.562,9.08E-03
0.563,9.11E-03
0.564,9.13E-03
0.565,9.15E-03
0.566,9.17E-03
0.567,9.19E-03
0.568,9.21E-03
0.569,9.23E-03
0.57,9.25E-03
0.571,9.26E-03
0.572,9.28E-03
0.573,9.30E-03
0.574,9.32E-03
0.575,9.35E-03
0.576,9.37E-03
0.577,9.39E-03
0.578,9.41E-03
0.579,9.43E-03
0.58,9.45E-03
0.581,9.47E-03
0.582,9.50E-03
0.583,9.52E-03
0.584,9.54E-03
0.585,9.56E-03
0.586,9.58E-03
0.587,9.60E-03
0.588,9.62E-03
0.589,9.64E-03
0.59,9.67E-03
0.591,9.69E-03
0.592,9.71E-03
0.593,9.73E-03
0.594,9.74E-03
0.595,9.76E-03
0.596,9.78E-03
0.597,9.80E-03
0.598,9.82E-03
0.599,9.85E-03
0.6,9.87E-03
0.601,9.89E-03
0.602,9.91E-03
0.603,9.93E-03
0.604,9.95E-03
0.605,9.97E-03
0.606,9.99E-03
0.607,1.00E-02
0.608,1.00E-02
0.609,1.01E-02
0.61,1.01E-02
0.611,1.01E-02
0.612,1.01E-02
0.613,1.01E-02
0.614,1.02E-02
0.615,1.02E-02
0.616,1.02E-02
0.617,1.02E-02
0.618,1.02E-02
0.619,1.03E-02
0.62,1.03E-02
0.621,1.03E-02
0.622,1.03E-02
0.623,1.03E-02
0.624,1.04E-02
0.625,1.04E-02
0.626,1.04E-02
0.627,1.04E-02
0.628,1.05E-02
0.629,1.05E-02
0.63,1.05E-02
0.631,1.05E-02
0.632,1.05E-02
0.633,1.06E-02
0.634,1.06E-02
0.635,1.06E-02
0.636,1.06E-02
0.637,1.06E-02
0.638,1.07E-02
0.639,1.07E-02
0.64,1.07E-02
0.641,1.07E-02
0.642,1.08E-02
0.643,1.08E-02
0.644,1.08E-02
0.645,1.08E-02
0.646,1.08E-02
0.647,1.08E-02
0.648,1.09E-02
0.649,1.09E-02
0.65,1.09E-02
0.651,1.09E-02
0.652,1.10E-02
0.653,1.10E-02
0.654,1.10E-02
0.655,1.10E-02
0.656,1.10E-02
0.657,1.11E-02
0.658,1.11E-02
0.659,1.11E-02
0.66,1.11E-02
0.661,1.11E-02
0.662,1.12E-02
0.663,1.12E-02
0.664,1.12E-02
0.665,1.12E-02
0.666,1.12E-02
0.667,1.13E-02
0.668,1.13E-02
0.669,1.13E-02
0.67,1.13E-02
0.671,1.14E-02
0.672,1.14E-02
0.673,1.14E-02
0.674,1.14E-02
0.675,1.14E-02
0.676,1.15E-02
0.677,1.15E-02
0.678,1.15E-02
0.679,1.15E-02
0.68,1.15E-02
0.681,1.16E-02
0.682,1.16E-02
0.683,1.16E-02
0.684,1.16E-02
0.685,1.16E-02
0.686,1.17E-02
0.687,1.17E-02
0.688,1.17E-02
0.689,1.17E-02
0.69,1.17E-02
0.691,1.18E-02
0.692,1.18E-02
0.693,1.18E-02
0.694,1.18E-02
0.695,1.19E-02
0.696,1.19E-02
0.697,1.19E-02
0.698,1.19E-02
0.699,1.19E-02
0.7,1.19E-02
0.701,1.20E-02
0.702,1.20E-02
0.703,1.20E-02
0.704,1.20E-02
0.705,1.21E-02
0.706,1.21E-02
0.707,1.21E-02
0.708,1.21E-02
0.709,1.21E-02
0.71,1.22E-02
0.711,1.22E-02
0.712,1.22E-02
0.713,1.22E-02
0.714,1.22E-02
0.715,1.23E-02
0.716,1.23E-02
0.717,1.23E-02
0.718,1.23E-02
0.719,1.23E-02
0.72,1.24E-02
0.721,1.24E-02
0.722,1.24E-02
0.723,1.24E-02
0.724,1.24E-02
0.725,1.25E-02
0.726,1.25E-02
0.727,1.25E-02
0.728,1.25E-02
0.729,1.25E-02
0.73,1.26E-02
0.731,1.26E-02
0.732,1.26E-02
0.733,1.26E-02
0.734,1.27E-02
0.735,1.27E-02
0.736,1.27E-02
0.737,1.27E-02
0.738,1.27E-02
0.739,1.28E-02
0.74,1.28E-02
0.741,1.28E-02
0.742,1.28E-02
0.743,1.28E-02
0.744,1.29E-02
0.745,1.29E-02
0.746,1.29E-02
0.747,1.29E-02
0.748,1.29E-02
0.749,1.30E-02
0.75,1.30E-02
0.751,1.30E-02
0.752,1.30E-02
0.753,1.30E-02
0.754,1.31E-02
0.755,1.31E-02
0.756,1.31E-02
0.757,1.31E-02
0.758,1.31E-02
0.759,1.32E-02
0.76,1.32E-02
0.761,1.32E-02
0.762,1.32E-02
0.763,1.33E-02
0.764,1.33E-02
0.765,1.33E-02
0.766,1.33E-02
